Modo,Direction,Lag,Chi2,p
M,C->D,1,0.1,0.76
S,C->D,1,0.07,0.79
M,D->C,1,1.11,0.29
S,D->C,1,0.18,0.67
M,C->D,2,1.26,0.53
S,C->D,2,0.09,0.96
M,D->C,2,1.57,0.46
S,D->C,2,0.44,0.8
M,C->D,3,1.56,0.67
S,C->D,3,0.06,1
M,D->C,3,1.78,0.62
S,D->C,3,1.26,0.74
M,C->D,4,1.48,0.83
S,C->D,4,0.21,0.99
M,D->C,4,2.55,0.64
S,D->C,4,1.5,0.83
M,C->D,5,3.03,0.7
S,C->D,5,1.25,0.94
M,D->C,5,2.37,0.8
S,D->C,5,1.73,0.89
M,C->D,6,3.33,0.77
S,C->D,6,1.52,0.96
M,D->C,6,2.2,0.9
S,D->C,6,1.77,0.94
M,C->D,7,4.4,0.73
S,C->D,7,1.46,0.98
M,D->C,7,8.78,0.27
S,D->C,7,1.75,0.97
M,C->D,8,4.21,0.84
S,C->D,8,1.84,0.99
M,D->C,8,9.71,0.29
S,D->C,8,3.1,0.93
M,C->D,9,5.9,0.75
S,C->D,9,1.46,1
M,D->C,9,10.66,0.3
S,D->C,9,2.82,0.97
M,C->D,10,6.37,0.78
S,C->D,10,1.35,1
M,D->C,10,11.19,0.34
S,D->C,10,2.71,0.99
M,C->D,11,6.44,0.84
S,C->D,11,1.91,1
M,D->C,11,10.96,0.45
S,D->C,11,3.39,0.98
M,C->D,12,7.23,0.84
S,C->D,12,3.04,1
M,D->C,12,15.48,0.22
S,D->C,12,3.57,0.99
M,C->D,13,5.85,0.95
S,C->D,13,4.79,0.98
M,D->C,13,16.79,0.21
S,D->C,13,4.27,0.99
M,C->D,14,11.3,0.66
S,C->D,14,10.56,0.72
M,D->C,14,22.12,0.08
S,D->C,14,4.78,0.99
M,C->D,15,12.52,0.64
S,C->D,15,11.03,0.75
M,D->C,15,28.69,0.02
S,D->C,15,9.97,0.82
M,C->D,16,15.9,0.46
S,C->D,16,12.62,0.7
M,D->C,16,27.06,0.04
S,D->C,16,6.73,0.98
M,C->D,17,18.4,0.36
S,C->D,17,12.13,0.79
M,D->C,17,21.96,0.19
S,D->C,17,6.5,0.99
